id,timestamp,sensor_dir,sensorvalue_x,sensorvalue_y,sensorvalue_z
498,2025-11-26 12:46:59,4,1444,1545,1806
497,2025-11-26 12:46:59,4,1446,1538,1804
496,2025-11-26 12:46:59,4,1450,1541,1800
495,2025-11-26 12:46:59,4,1450,1535,1805
494,2025-11-26 12:46:59,4,1448,1539,1792
493,2025-11-26 12:46:59,4,1444,1539,1800
492,2025-11-26 12:46:59,4,1444,1536,1801
491,2025-11-26 12:46:59,4,1437,1539,1804
490,2025-11-26 12:46:59,4,1442,1533,1803
489,2025-11-26 12:46:59,4,1441,1534,1800
488,2025-11-26 12:46:59,4,1449,1538,1797
487,2025-11-26 12:46:59,4,1447,1537,1801
486,2025-11-26 12:46:59,4,1449,1540,1800
485,2025-11-26 12:46:59,4,1451,1539,1801
484,2025-11-26 12:46:59,4,1450,1537,1798
483,2025-11-26 12:46:59,4,1447,1538,1800
482,2025-11-26 12:46:59,4,1448,1538,1795
481,2025-11-26 12:46:59,4,1444,1540,1799
480,2025-11-26 12:46:59,4,1440,1537,1800
479,2025-11-26 12:46:59,4,1440,1536,1801
478,2025-11-26 12:46:59,4,1448,1532,1800
477,2025-11-26 12:46:59,4,1444,1531,1799
476,2025-11-26 12:46:59,4,1441,1533,1805
475,2025-11-26 12:46:59,4,1440,1539,1805
474,2025-11-26 12:46:59,4,1445,1537,1806
473,2025-11-26 12:46:59,4,1441,1534,1800
472,2025-11-26 12:46:59,4,1442,1539,1806
471,2025-11-26 12:46:59,4,1442,1541,1810
470,2025-11-26 12:46:59,4,1447,1543,1806
469,2025-11-26 12:46:59,4,1455,1539,1809
468,2025-11-26 12:46:59,4,1451,1536,1801
467,2025-11-26 12:46:59,4,1451,1536,1799
466,2025-11-26 12:46:59,4,1453,1533,1798
465,2025-11-26 12:46:59,4,1446,1531,1794
464,2025-11-26 12:46:58,4,1448,1535,1791
463,2025-11-26 12:46:58,4,1444,1536,1793
462,2025-11-26 12:46:58,4,1443,1538,1799
461,2025-11-26 12:46:58,4,1430,1540,1806
460,2025-11-26 12:46:58,4,1432,1543,1814
459,2025-11-26 12:46:58,4,1431,1540,1809
458,2025-11-26 12:46:58,4,1437,1541,1814
457,2025-11-26 12:46:58,4,1433,1538,1807
456,2025-11-26 12:46:58,4,1440,1538,1805
455,2025-11-26 12:46:58,4,1440,1536,1799
454,2025-11-26 12:46:58,4,1450,1534,1799
453,2025-11-26 12:46:58,4,1452,1539,1798
452,2025-11-26 12:46:58,4,1454,1536,1799
451,2025-11-26 12:46:58,4,1451,1540,1799
450,2025-11-26 12:46:58,4,1447,1538,1796
449,2025-11-26 12:46:58,4,1448,1535,1801
448,2025-11-26 12:46:58,4,1453,1539,1797
447,2025-11-26 12:46:58,4,1454,1536,1792
446,2025-11-26 12:46:58,4,1450,1537,1798
445,2025-11-26 12:46:58,4,1444,1539,1802
444,2025-11-26 12:46:58,4,1440,1533,1800
443,2025-11-26 12:46:58,4,1443,1538,1806
442,2025-11-26 12:46:58,4,1437,1539,1803
441,2025-11-26 12:46:58,4,1444,1538,1795
440,2025-11-26 12:46:58,4,1443,1537,1804
439,2025-11-26 12:46:58,4,1439,1541,1804
438,2025-11-26 12:46:58,4,1438,1543,1810
437,2025-11-26 12:46:58,4,1437,1540,1809
436,2025-11-26 12:46:58,4,1444,1543,1806
435,2025-11-26 12:46:58,4,1439,1544,1806
434,2025-11-26 12:46:58,4,1440,1533,1805
433,2025-11-26 12:46:58,4,1441,1535,1809
432,2025-11-26 12:46:58,4,1445,1534,1799
431,2025-11-26 12:46:58,4,1444,1539,1799
430,2025-11-26 12:46:58,4,1452,1536,1799
429,2025-11-26 12:46:58,4,1448,1538,1797
428,2025-11-26 12:46:58,4,1442,1539,1802
427,2025-11-26 12:46:58,4,1444,1531,1795
426,2025-11-26 12:46:58,4,1451,1534,1797
425,2025-11-26 12:46:58,4,1447,1535,1795
424,2025-11-26 12:46:58,4,1442,1539,1802
423,2025-11-26 12:46:58,4,1442,1537,1798
422,2025-11-26 12:46:57,4,1446,1539,1799
421,2025-11-26 12:46:57,4,1447,1539,1797
420,2025-11-26 12:46:57,4,1449,1538,1800
419,2025-11-26 12:46:57,4,1442,1536,1807
418,2025-11-26 12:46:57,4,1443,1532,1800
417,2025-11-26 12:46:57,4,1444,1531,1798
416,2025-11-26 12:46:57,4,1444,1538,1800
415,2025-11-26 12:46:57,4,1445,1536,1800
414,2025-11-26 12:46:57,4,1447,1537,1795
413,2025-11-26 12:46:57,4,1450,1538,1795
412,2025-11-26 12:46:57,4,1443,1540,1795
411,2025-11-26 12:46:57,4,1443,1535,1796
410,2025-11-26 12:46:57,4,1436,1540,1800
409,2025-11-26 12:46:57,4,1441,1538,1805
408,2025-11-26 12:46:57,4,1442,1540,1806
407,2025-11-26 12:46:57,4,1442,1540,1801
406,2025-11-26 12:46:57,4,1437,1537,1797
405,2025-11-26 12:46:57,4,1444,1546,1799
404,2025-11-26 12:46:57,4,1444,1542,1802
403,2025-11-26 12:46:57,4,1446,1539,1803
402,2025-11-26 12:46:57,4,1446,1537,1797
401,2025-11-26 12:46:57,4,1443,1538,1799
400,2025-11-26 12:46:27,3,1773,1549,1526
399,2025-11-26 12:46:27,3,1774,1547,1528
398,2025-11-26 12:46:27,3,1775,1553,1527
397,2025-11-26 12:46:27,3,1770,1552,1523
396,2025-11-26 12:46:27,3,1780,1544,1517
395,2025-11-26 12:46:27,3,1771,1549,1524
394,2025-11-26 12:46:27,3,1775,1550,1532
393,2025-11-26 12:46:27,3,1773,1549,1530
392,2025-11-26 12:46:27,3,1770,1548,1527
391,2025-11-26 12:46:27,3,1778,1553,1524
390,2025-11-26 12:46:27,3,1771,1550,1531
389,2025-11-26 12:46:27,3,1780,1556,1532
388,2025-11-26 12:46:27,3,1775,1553,1524
387,2025-11-26 12:46:27,3,1777,1558,1525
386,2025-11-26 12:46:27,3,1774,1556,1530
385,2025-11-26 12:46:27,3,1777,1554,1524
384,2025-11-26 12:46:27,3,1772,1555,1523
383,2025-11-26 12:46:27,3,1779,1550,1524
382,2025-11-26 12:46:27,3,1771,1553,1525
381,2025-11-26 12:46:27,3,1778,1553,1522
380,2025-11-26 12:46:27,3,1772,1553,1528
379,2025-11-26 12:46:27,3,1774,1553,1526
378,2025-11-26 12:46:27,3,1776,1549,1530
377,2025-11-26 12:46:27,3,1778,1554,1524
376,2025-11-26 12:46:27,3,1769,1554,1523
375,2025-11-26 12:46:27,3,1779,1552,1533
374,2025-11-26 12:46:27,3,1780,1551,1524
373,2025-11-26 12:46:27,3,1779,1559,1530
372,2025-11-26 12:46:27,3,1772,1560,1531
371,2025-11-26 12:46:27,3,1773,1553,1526
370,2025-11-26 12:46:27,3,1779,1553,1526
369,2025-11-26 12:46:27,3,1775,1552,1525
368,2025-11-26 12:46:27,3,1776,1553,1532
367,2025-11-26 12:46:27,3,1775,1550,1528
366,2025-11-26 12:46:27,3,1774,1556,1523
365,2025-11-26 12:46:27,3,1777,1557,1528
364,2025-11-26 12:46:27,3,1767,1553,1529
363,2025-11-26 12:46:27,3,1776,1553,1528
362,2025-11-26 12:46:27,3,1776,1560,1529
361,2025-11-26 12:46:27,3,1774,1553,1528
360,2025-11-26 12:46:27,3,1778,1553,1531
359,2025-11-26 12:46:27,3,1776,1554,1524
358,2025-11-26 12:46:27,3,1780,1553,1532
357,2025-11-26 12:46:27,3,1772,1559,1529
356,2025-11-26 12:46:26,3,1776,1551,1531
355,2025-11-26 12:46:26,3,1778,1547,1524
354,2025-11-26 12:46:26,3,1775,1549,1529
353,2025-11-26 12:46:26,3,1772,1545,1527
352,2025-11-26 12:46:26,3,1778,1550,1532
351,2025-11-26 12:46:26,3,1778,1549,1523
350,2025-11-26 12:46:26,3,1772,1549,1529
349,2025-11-26 12:46:26,3,1775,1552,1529
348,2025-11-26 12:46:26,3,1770,1547,1524
347,2025-11-26 12:46:26,3,1770,1550,1525
346,2025-11-26 12:46:26,3,1780,1549,1524
345,2025-11-26 12:46:26,3,1774,1552,1526
344,2025-11-26 12:46:26,3,1768,1552,1526
343,2025-11-26 12:46:26,3,1771,1555,1526
342,2025-11-26 12:46:26,3,1773,1545,1531
341,2025-11-26 12:46:26,3,1771,1550,1526
340,2025-11-26 12:46:26,3,1770,1548,1524
339,2025-11-26 12:46:26,3,1775,1550,1531
338,2025-11-26 12:46:26,3,1775,1545,1525
337,2025-11-26 12:46:26,3,1777,1544,1527
336,2025-11-26 12:46:26,3,1773,1557,1526
335,2025-11-26 12:46:26,3,1772,1560,1522
334,2025-11-26 12:46:26,3,1771,1553,1533
333,2025-11-26 12:46:26,3,1777,1555,1524
332,2025-11-26 12:46:26,3,1777,1553,1530
331,2025-11-26 12:46:26,3,1774,1557,1524
330,2025-11-26 12:46:26,3,1774,1558,1530
329,2025-11-26 12:46:26,3,1770,1553,1524
328,2025-11-26 12:46:26,3,1770,1554,1521
327,2025-11-26 12:46:26,3,1770,1557,1525
326,2025-11-26 12:46:26,3,1773,1547,1532
325,2025-11-26 12:46:26,3,1770,1547,1525
324,2025-11-26 12:46:26,3,1773,1549,1524
323,2025-11-26 12:46:26,3,1776,1551,1525
322,2025-11-26 12:46:26,3,1777,1548,1524
321,2025-11-26 12:46:25,3,1774,1551,1525
320,2025-11-26 12:46:25,3,1777,1554,1526
319,2025-11-26 12:46:25,3,1774,1557,1524
318,2025-11-26 12:46:25,3,1774,1552,1531
317,2025-11-26 12:46:25,3,1778,1549,1532
316,2025-11-26 12:46:25,3,1773,1553,1528
315,2025-11-26 12:46:25,3,1776,1554,1521
314,2025-11-26 12:46:25,3,1773,1548,1526
313,2025-11-26 12:46:25,3,1775,1549,1531
312,2025-11-26 12:46:25,3,1782,1553,1533
311,2025-11-26 12:46:25,3,1772,1550,1524
310,2025-11-26 12:46:25,3,1781,1552,1531
309,2025-11-26 12:46:25,3,1773,1554,1525
308,2025-11-26 12:46:25,3,1782,1545,1526
307,2025-11-26 12:46:25,3,1778,1553,1528
306,2025-11-26 12:46:25,3,1771,1552,1528
305,2025-11-26 12:46:25,3,1771,1553,1531
304,2025-11-26 12:46:25,3,1774,1553,1526
303,2025-11-26 12:46:25,3,1774,1552,1526
302,2025-11-26 12:46:24,3,1774,1553,1527
301,2025-11-26 12:46:24,3,1776,1556,1523
300,2025-11-26 12:46:16,2,1164,1529,1465
299,2025-11-26 12:46:16,2,1168,1533,1464
298,2025-11-26 12:46:15,2,1169,1530,1463
297,2025-11-26 12:46:15,2,1172,1532,1465
296,2025-11-26 12:46:15,2,1171,1531,1468
295,2025-11-26 12:46:15,2,1179,1536,1473
294,2025-11-26 12:46:15,2,1180,1527,1471
293,2025-11-26 12:46:15,2,1183,1530,1470
292,2025-11-26 12:46:15,2,1184,1530,1468
291,2025-11-26 12:46:15,2,1180,1530,1472
290,2025-11-26 12:46:15,2,1176,1531,1477
289,2025-11-26 12:46:15,2,1175,1535,1468
288,2025-11-26 12:46:15,2,1167,1536,1473
287,2025-11-26 12:46:15,2,1167,1537,1476
286,2025-11-26 12:46:15,2,1162,1538,1468
285,2025-11-26 12:46:15,2,1166,1537,1469
284,2025-11-26 12:46:15,2,1162,1537,1468
283,2025-11-26 12:46:15,2,1168,1538,1473
282,2025-11-26 12:46:15,2,1165,1542,1476
281,2025-11-26 12:46:15,2,1169,1538,1468
280,2025-11-26 12:46:15,2,1172,1533,1476
279,2025-11-26 12:46:15,2,1173,1535,1474
278,2025-11-26 12:46:15,2,1182,1531,1468
277,2025-11-26 12:46:15,2,1178,1531,1467
276,2025-11-26 12:46:15,2,1188,1532,1470
275,2025-11-26 12:46:15,2,1183,1528,1463
274,2025-11-26 12:46:15,2,1181,1524,1469
273,2025-11-26 12:46:15,2,1176,1533,1465
272,2025-11-26 12:46:15,2,1179,1530,1461
271,2025-11-26 12:46:15,2,1175,1532,1473
270,2025-11-26 12:46:15,2,1175,1530,1468
269,2025-11-26 12:46:15,2,1166,1533,1473
268,2025-11-26 12:46:15,2,1170,1531,1470
267,2025-11-26 12:46:15,2,1165,1531,1467
266,2025-11-26 12:46:15,2,1162,1531,1466
265,2025-11-26 12:46:15,2,1165,1536,1466
264,2025-11-26 12:46:15,2,1166,1535,1466
263,2025-11-26 12:46:15,2,1172,1532,1464
262,2025-11-26 12:46:15,2,1172,1533,1468
261,2025-11-26 12:46:14,2,1177,1535,1472
260,2025-11-26 12:46:14,2,1176,1527,1468
259,2025-11-26 12:46:14,2,1180,1532,1471
258,2025-11-26 12:46:14,2,1188,1531,1473
257,2025-11-26 12:46:14,2,1180,1532,1473
256,2025-11-26 12:46:14,2,1175,1531,1473
255,2025-11-26 12:46:14,2,1175,1534,1471
254,2025-11-26 12:46:14,2,1167,1539,1467
253,2025-11-26 12:46:14,2,1163,1535,1469
252,2025-11-26 12:46:14,2,1160,1538,1471
251,2025-11-26 12:46:14,2,1161,1540,1466
250,2025-11-26 12:46:14,2,1164,1535,1466
249,2025-11-26 12:46:14,2,1168,1531,1465
248,2025-11-26 12:46:14,2,1165,1527,1461
247,2025-11-26 12:46:14,2,1175,1531,1460
246,2025-11-26 12:46:14,2,1175,1536,1472
245,2025-11-26 12:46:14,2,1176,1531,1476
244,2025-11-26 12:46:14,2,1179,1532,1476
243,2025-11-26 12:46:14,2,1175,1532,1472
242,2025-11-26 12:46:14,2,1172,1535,1471
241,2025-11-26 12:46:14,2,1175,1533,1473
240,2025-11-26 12:46:14,2,1174,1533,1474
239,2025-11-26 12:46:14,2,1171,1535,1466
238,2025-11-26 12:46:14,2,1175,1538,1468
237,2025-11-26 12:46:14,2,1169,1537,1470
236,2025-11-26 12:46:14,2,1162,1531,1459
235,2025-11-26 12:46:14,2,1168,1534,1459
234,2025-11-26 12:46:14,2,1172,1531,1463
233,2025-11-26 12:46:14,2,1172,1535,1459
232,2025-11-26 12:46:14,2,1168,1531,1463
231,2025-11-26 12:46:14,2,1177,1531,1466
230,2025-11-26 12:46:14,2,1179,1539,1467
229,2025-11-26 12:46:14,2,1181,1531,1472
